,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
294,8845,Punch,18.0,624277.2,384222.6,98,19.0,624175.4,384236.2
295,7423,Grenade,36.0,451178.1,621150.4,98,36.0,451178.1,621150.4
284,11759,Down and Out,3.0,559310.4,487033.8,98,47.0,559385.2,486337.5
285,5161,Punch,15.0,341176.7,164452.4,98,28.0,341273.6,164441.7
286,18495,AKM,5.0,446003.3,621266.8,98,90.0,445131.2,622573.9
287,11692,Micro UZI,3.0,560001.5,485877.9,98,47.0,560099.4,485678.3
288,19588,S1897,41.0,423539.3,324900.4,98,45.0,423539.2,324332.5
283,23834,M16A4,73.0,485483.6,450394.2,98,85.0,485621.5,450431.7
290,565,AKM,32.0,447376.5,629079.3,98,44.0,447186.7,629021.0
291,19838,S12K,39.0,429507.1,636685.7,98,38.0,429905.9,636683.1
292,19584,Tommy Gun,35.0,393833.8,277447.1,98,47.0,392978.9,277029.2
293,7965,P92,40.0,423666.9,327440.2,98,28.0,423201.1,327512.8
289,11485,Punch,46.0,412031.2,481836.6,98,85.0,411877.1,481846.3
334,13535,P92,50.0,379615.9,475024.3,99,49.0,379958.9,474862.9
324,3181,P1911,35.0,330526.2,527026.3,99,56.0,330437.4,527321.8
325,24324,M16A4,59.0,419578.2,324741.2,99,92.0,419121.2,324642.4
326,16205,P1911,61.0,646337.7,422194.7,99,90.0,646236.1,422088.2
327,20297,S12K,16.0,448796.7,620738.4,99,12.0,448993.6,620939.3
330,13882,Down and Out,48.0,418849.8,325910.9,99,50.0,417947.2,326877.6
329,23843,P1911,76.0,467448.2,645405.9,99,84.0,467553.0,645398.6
331,1228,Punch,4.0,462694.0,644731.2,99,19.0,462609.8,644698.4
332,13880,Punch,9.0,423176.7,327910.4,99,50.0,423224.3,327956.6
323,2763,Vector,5.0,697682.3,343605.7,99,37.0,698409.6,342763.3
328,6002,P1911,16.0,406299.6,300427.6,99,20.0,406396.2,300415.5
322,16148,P92,76.0,421065.8,324108.8,99,89.0,420908.2,324385.4
333,9392,S1897,22.0,395394.8,356313.0,99,25.0,395410.9,356494.1
320,8931,SCAR-L,18.0,600801.8,480113.2,99,12.0,600418.1,480296.9
310,11474,P1911,50.0,437753.0,623377.4,99,84.0,437818.3,623331.0
311,2230,Falling,78.0,560819.8,380416.8,99,89.0,561128.7,380196.3
312,16174,P1911,30.0,423959.9,326077.2,99,88.0,424147.5,326437.8
313,12539,P92,10.0,364149.2,395611.5,99,23.0,364015.4,395232.9
314,4660,S686,2.0,394722.8,276328.4,99,23.0,394995.5,276406.2
321,6494,S12K,34.0,464661.6,649803.9,99,12.0,464576.7,649726.3
316,17775,M16A4,33.0,467117.5,643411.6,99,46.0,467177.8,643378.4
317,6155,S686,3.0,160693.1,294360.3,99,97.0,160958.5,294033.6
318,12474,S686,6.0,423185.3,325690.0,99,27.0,420840.2,324370.1
319,3102,Punch,25.0,617727.1,476593.7,99,19.0,617685.8,476525.2
315,23152,SKS,23.0,205082.3,270305.0,99,,205070.9,269671.7
348,2507,Punch,13.0,423004.5,324994.2,100,28.0,423064.3,324930.1
